,prj_led,admin_roles,isEmployee,type,rsc_prj,rsc_department,proprietary,task,activity,action,user_task_corr,user_prj_corr,user_department_corr,expertise
160965,73,13,1,20,73,7,0,6220,30,True,0,1,0,0
173904,74,13,1,20,74,7,1,7310,30,True,0,1,0,0
211361,61,13,0,20,61,7,1,1110,30,True,0,1,0,0
194921,0,13,1,21,71,8,1,73100,32,True,0,1,1,0
179177,0,13,0,22,72,7,0,72200,36,True,0,1,0,2
163374,0,13,0,21,71,7,1,7210,32,True,0,1,1,0
167297,0,13,0,21,73,7,0,73200,30,True,0,1,0,0
201581,62,13,1,22,62,7,0,73200,36,True,0,1,0,2
184965,72,13,1,21,72,8,1,7210,30,True,0,1,0,2
203916,0,13,0,21,72,7,1,3210,30,True,0,1,1,0
175056,0,13,1,21,74,7,0,6220,32,True,0,1,0,0
170546,0,13,0,22,74,7,1,7120,36,True,0,1,0,0
185259,73,13,0,22,73,8,0,7320,34,True,0,1,1,1
184674,72,13,0,22,72,7,1,6220,36,True,0,1,0,0
164741,73,13,0,20,73,8,1,71100,30,True,0,1,1,2
201175,12,13,1,20,12,7,0,6220,30,True,0,1,1,2
188330,73,13,0,20,73,7,0,7210,30,True,0,1,0,2
167989,72,13,0,20,72,7,1,73100,32,True,0,1,0,2
209989,74,13,0,22,74,1,0,5110,36,True,0,1,1,0
189759,72,13,0,20,72,7,0,7210,30,True,0,1,0,0
181152,71,13,1,20,71,7,1,7110,32,True,0,1,1,0
169183,74,13,0,21,74,7,0,7320,32,True,0,1,1,0
192427,71,13,1,20,71,8,1,7320,30,True,0,1,0,2
203104,0,13,0,21,73,8,1,2210,30,True,0,1,0,0
169100,72,13,0,21,72,8,1,72200,30,True,0,1,1,0
180549,0,13,0,21,73,8,0,73100,30,True,0,1,1,2
183030,0,13,1,22,72,7,0,7110,33,True,1,0,0,0
205780,72,13,1,21,72,5,0,7220,30,True,0,1,0,0
192750,71,13,0,20,71,7,1,7220,32,True,0,1,0,0
206178,22,13,1,22,11,1,0,7220,33,True,1,0,0,0
167855,74,13,0,20,74,8,1,7320,32,True,0,1,1,2
193570,74,13,0,20,74,8,0,7220,32,True,0,1,0,2
163184,0,13,0,21,73,8,1,62200,30,True,0,1,1,2
193665,0,13,1,21,72,7,0,71100,32,True,0,1,0,0
177530,74,13,1,20,74,7,1,7120,30,True,0,1,0,2
202055,73,13,1,21,73,7,0,3120,32,True,0,1,0,0
189417,74,13,0,20,74,7,0,62200,32,True,0,1,0,0
165912,73,13,0,21,73,7,1,73100,30,True,0,1,0,0
188878,0,13,0,21,73,7,0,7220,32,True,0,1,0,1
194375,74,13,0,22,74,8,1,6220,36,True,0,1,0,0
199887,0,13,0,21,72,8,1,7210,30,True,0,1,0,0
205210,71,13,1,20,71,2,1,7210,32,True,0,1,0,0
204070,0,13,1,22,73,5,1,73100,36,True,1,1,0,0
174031,0,13,1,21,73,7,1,73200,30,True,0,1,0,0
173072,71,13,1,22,71,7,1,7320,33,True,1,1,0,0
211264,32,13,1,21,32,7,1,4220,30,True,0,1,0,0
198839,74,13,1,21,74,7,1,71200,32,True,0,1,1,0
204383,72,13,0,21,72,4,1,71100,32,True,0,1,0,0
201204,61,13,1,22,11,7,0,7120,33,True,1,0,0,0
208878,71,13,0,21,71,3,1,22100,30,True,0,1,0,0
165085,0,13,1,21,71,7,0,71200,32,True,0,1,1,0
170064,0,13,1,22,71,7,1,7320,36,True,0,1,1,0
179497,72,13,1,22,74,7,1,72100,33,True,1,0,0,1
165584,0,13,0,21,73,7,1,6220,32,True,0,1,0,0
181136,0,13,1,21,71,8,1,7220,30,True,1,1,0,0
204625,74,13,1,21,74,2,1,73200,30,True,0,1,0,2
175926,73,13,0,20,73,8,0,71100,32,True,0,1,1,2
175087,72,13,1,21,72,8,0,7220,32,True,0,1,0,0
186635,0,13,1,21,73,7,0,72200,30,True,0,1,0,0
175015,0,13,1,22,73,8,0,7320,36,True,0,1,0,0
210004,62,13,0,20,62,7,0,5220,32,True,0,1,0,2
191235,72,13,1,22,72,8,1,7110,36,True,0,1,0,0
175556,0,13,1,22,72,7,1,62200,36,True,0,1,0,0
192031,73,13,1,20,73,7,1,71200,30,True,0,1,1,0
171783,0,13,0,22,72,8,1,7120,33,True,1,1,1,2
171991,0,13,1,21,73,7,0,7210,32,True,0,1,0,0
193092,72,13,1,22,72,8,1,73200,36,True,0,1,1,0
164544,0,13,1,21,73,8,1,71200,32,True,0,1,0,0
163702,74,13,1,21,74,8,1,72100,30,True,0,1,1,0
185640,71,13,1,21,71,7,1,6220,30,True,0,1,0,0
203475,0,13,1,22,73,7,1,3120,34,True,0,1,1,1
177533,0,13,1,21,74,7,1,7110,30,True,0,1,0,0
204648,0,13,1,22,73,1,1,7320,33,True,1,0,1,0
211235,0,13,1,21,51,8,1,2120,30,True,0,1,0,2
189284,72,13,1,22,72,8,0,7120,30,True,0,1,0,1
199309,74,13,1,20,74,8,1,71100,32,True,0,1,0,0
190560,0,13,0,22,73,8,0,7220,36,True,0,1,0,2
193332,72,13,0,21,72,7,1,7220,30,True,0,1,0,0
183333,71,13,0,21,71,7,0,7310,32,True,0,1,0,0
178349,72,13,1,20,72,8,0,7210,32,True,0,1,0,0
167852,73,13,1,20,73,7,0,7310,30,True,0,1,0,2
202388,0,13,0,21,74,8,1,3220,30,True,0,1,0,0
165972,73,13,1,22,73,8,0,7220,36,True,0,1,0,0
202407,74,13,1,21,74,7,0,6110,30,True,0,1,1,0
205886,73,13,0,20,73,5,1,72100,30,True,0,1,0,0
170254,0,13,1,21,71,8,1,62200,30,True,0,1,0,0
211871,51,13,1,21,51,8,0,31200,30,True,0,1,0,0
197884,72,13,1,21,72,7,0,72100,32,True,0,1,0,0
167118,71,13,1,22,71,8,1,62200,36,True,0,1,0,2
199122,0,13,1,21,71,8,1,7120,32,True,0,1,0,0
182079,73,13,0,20,73,8,1,7310,30,True,0,1,0,0
159592,11,13,1,20,11,5,1,1110,32,True,0,1,0,0
196128,0,13,0,22,71,8,0,71100,36,True,0,1,1,0
159307,0,13,0,21,31,1,1,5210,32,True,0,1,0,0
171264,0,13,1,21,71,8,1,73100,32,True,0,1,0,0
175923,72,13,0,22,72,8,1,62100,36,True,0,1,0,0
192947,73,13,1,20,73,7,0,72200,30,True,0,1,0,0
208874,74,13,0,20,74,6,0,3110,30,True,0,1,0,2
181472,0,13,0,21,73,8,1,6220,30,True,0,1,0,0
180509,0,13,0,22,71,7,1,73100,36,True,0,1,0,0
190095,0,13,1,21,71,7,0,72200,30,True,0,1,0,0
204279,74,13,1,20,74,5,0,73100,32,True,0,1,0,2
209193,72,13,1,21,72,5,1,2120,30,True,0,1,0,0
159831,62,13,1,21,62,6,1,2210,30,True,0,1,0,0
201434,0,13,1,22,32,7,0,72100,36,True,0,1,1,0
200886,62,13,1,21,62,7,0,62200,32,True,0,1,1,0
207392,41,13,1,22,41,1,0,7320,36,True,0,1,0,0
174175,0,13,0,21,72,8,0,73100,32,True,0,1,0,0
161643,74,13,1,22,74,8,0,73200,30,True,0,1,0,1
170053,0,13,1,22,72,7,1,62200,36,True,0,1,0,0
207344,42,13,1,20,42,1,1,7220,30,True,0,1,0,0
180145,0,13,1,22,74,8,0,7120,36,True,0,1,0,0
175434,71,13,0,20,71,8,0,73100,32,True,0,1,0,0
175249,74,13,0,22,74,7,1,73200,36,True,0,1,0,0
207623,42,13,1,21,42,4,1,7310,32,True,0,1,0,0
199343,0,13,1,22,73,8,0,7110,33,True,1,1,0,0
209663,0,13,1,21,74,1,0,12100,30,True,0,1,0,0
160635,73,13,1,20,73,7,0,7210,32,True,0,1,1,0
167086,0,13,0,21,72,8,1,7320,30,True,0,1,0,0
166682,72,13,0,20,72,8,1,7120,30,True,0,1,1,1
170904,0,13,0,21,71,8,0,62200,32,True,0,1,0,1
183287,0,13,1,22,72,7,0,62100,36,True,0,1,0,0
165008,74,13,0,22,74,8,0,7220,36,True,1,1,0,0
206246,61,13,1,22,61,2,1,62200,34,True,0,1,0,1
203559,71,13,0,20,71,8,1,42200,32,True,0,1,1,0
162122,0,13,1,22,71,7,1,7220,36,True,0,1,1,0
181214,74,13,1,21,74,7,0,6220,32,True,0,1,0,0
168106,73,13,1,20,73,8,0,62200,30,True,0,1,0,0
170812,0,13,1,22,74,7,1,72100,36,True,0,1,1,0
190482,73,13,0,20,73,8,0,72200,32,True,0,1,1,0
201340,32,13,1,21,32,7,0,71200,32,True,0,1,0,0
161090,0,13,0,22,74,7,0,71200,36,True,0,1,0,0
166481,0,13,0,21,73,8,1,72100,32,True,0,1,0,0
179730,72,13,1,22,72,7,0,6220,36,True,0,1,0,0
194122,0,13,0,21,73,8,0,73100,32,True,0,1,0,1
199677,0,13,1,22,73,8,0,71200,36,True,1,1,0,0
211222,51,13,1,21,51,8,0,11200,32,True,0,1,1,2
206430,62,13,0,20,62,5,1,73200,32,True,0,1,0,0
171394,74,13,0,21,74,8,1,72100,32,True,0,1,0,0
165306,0,13,1,21,73,7,0,7210,30,True,0,1,0,1
194011,73,13,1,21,73,7,0,7120,30,True,0,1,0,2
211310,0,13,0,22,62,7,1,1120,36,True,0,1,1,0
178206,74,13,1,20,74,8,0,6220,30,True,0,1,1,0
183752,0,13,0,21,72,7,0,72100,32,True,0,1,1,2
187158,73,13,0,21,73,8,0,7110,32,True,1,1,0,2
211917,0,13,1,21,62,8,1,52100,30,True,0,1,0,0
163294,74,13,0,21,74,7,1,62200,30,True,0,1,0,0
186623,73,13,1,20,73,7,1,72200,32,True,0,1,0,0
176475,73,13,0,21,73,7,0,73100,32,True,0,1,1,0
164163,73,13,0,22,73,7,0,62100,30,True,0,1,1,1
172020,0,13,0,22,73,7,0,62200,30,True,1,1,0,1
164180,72,13,0,20,72,8,0,71200,32,True,0,1,0,2
184500,72,13,0,20,72,8,1,7110,30,True,0,1,0,0
178962,71,13,1,21,71,7,0,7110,32,True,0,1,1,0
173637,0,13,1,22,71,8,0,62200,36,True,0,1,1,2
211228,0,13,0,21,31,8,1,31200,32,True,0,1,0,0
210619,0,13,0,21,62,8,1,52200,32,True,0,1,1,2
180162,72,13,0,22,72,7,1,62200,33,True,1,1,0,0
173108,74,13,0,20,74,8,1,72200,30,True,0,1,1,0
204846,74,13,0,20,74,5,0,7120,30,True,0,1,0,0
159512,32,13,0,20,32,5,1,3220,32,True,0,1,0,0
172479,0,13,0,21,74,8,0,7210,32,True,0,1,0,0
210881,31,13,1,21,31,7,1,4220,30,True,0,1,1,0
184323,71,13,0,21,71,7,0,7210,32,True,0,1,0,2
188884,72,13,1,22,73,8,1,72100,33,True,1,0,1,1
183196,0,13,0,21,72,8,0,7310,30,True,0,1,0,0
166055,73,13,1,22,73,8,0,62200,36,True,0,1,0,2
164340,0,13,1,21,71,8,1,73200,30,True,0,1,0,0
169405,0,13,0,21,72,8,1,62200,30,True,1,1,0,0
191214,73,13,1,20,73,8,1,7320,32,True,0,1,0,2
169506,72,13,0,21,72,7,0,71100,30,True,0,1,0,0
174711,72,13,0,20,72,7,0,71200,32,True,0,1,0,1
193173,0,13,1,22,73,7,0,62100,36,True,0,1,0,0
179584,74,13,1,21,74,8,1,7320,30,True,0,1,0,0
194648,72,13,1,20,72,7,0,6220,32,True,0,1,0,2
210173,0,13,0,22,52,8,0,11100,36,True,0,1,0,1
193344,71,13,0,22,72,8,0,7110,33,True,1,0,0,1
189080,0,13,0,21,72,7,1,72100,30,True,0,1,0,2
192596,71,13,0,22,72,7,0,7110,33,True,1,0,0,0
187808,73,13,1,21,73,7,1,72100,32,True,0,1,0,0
