,prj_led,admin_roles,isEmployee,type,rsc_prj,rsc_department,proprietary,task,activity,action,user_task_corr,user_prj_corr,user_department_corr,expertise
59050,0,11,0,21,41,1,0,41200,30,True,0,1,0,0
105445,12,11,1,20,12,1,0,62200,30,True,0,1,1,0
69414,0,11,1,22,42,3,1,3120,35,True,0,1,0,0
75392,42,11,1,20,42,3,1,3210,30,True,0,1,0,0
69596,42,11,0,20,42,4,1,32100,32,True,0,1,0,0
77167,0,11,0,21,42,3,1,22200,30,True,0,1,1,1
53264,61,11,1,20,61,3,0,62100,30,True,0,1,0,0
54613,74,11,0,20,74,4,0,72200,30,True,0,1,0,2
101064,0,11,0,22,42,4,0,32100,35,True,0,1,0,2
105005,0,11,0,20,52,5,0,2110,30,True,0,1,0,0
55751,62,11,0,21,62,2,1,41200,30,True,0,1,0,0
65818,0,11,0,22,31,3,0,3210,33,True,1,1,0,0
71693,41,11,1,21,41,3,1,4120,30,True,0,1,0,2
56209,0,11,1,22,61,8,0,41200,35,True,0,1,0,0
54942,52,11,0,22,52,3,0,72100,30,True,0,1,0,1
87083,32,11,0,22,32,4,1,3110,35,True,0,1,1,2
95322,42,11,1,20,42,4,0,22200,32,True,0,1,1,0
68384,42,11,0,20,42,3,1,32100,32,True,0,1,0,2
95091,32,11,0,22,32,4,1,22200,35,True,0,1,0,0
82261,0,11,0,20,31,4,1,3120,30,True,0,1,0,0
56721,0,11,0,22,22,6,0,31100,35,True,0,1,0,0
91841,0,11,0,20,32,3,0,3110,30,True,0,1,0,0
87878,0,11,1,22,32,4,1,3120,35,True,0,1,0,0
79085,31,11,0,20,31,3,1,3120,30,True,0,1,0,1
66766,41,11,1,21,41,3,1,31200,32,True,0,1,0,0
62778,74,11,0,21,74,4,0,41100,32,True,0,1,0,0
98313,32,11,1,21,32,4,1,3110,32,True,0,1,0,0
88966,0,11,1,20,31,4,0,31200,32,True,0,1,1,0
62140,52,11,1,22,52,3,1,4120,35,True,1,1,1,0
