,prj_led,admin_roles,isEmployee,type,rsc_prj,rsc_department,proprietary,task,activity,action,user_task_corr,user_prj_corr,user_department_corr,expertise
30548,0,10,0,20,22,2,1,1210,31,True,1,0,1,2
5901,21,10,1,20,21,1,1,1210,32,True,0,1,0,0
42718,0,10,1,21,22,8,1,31100,30,True,0,1,0,1
16739,12,10,1,20,22,2,0,12200,31,True,0,0,1,0
51901,0,10,1,20,73,1,0,2210,31,True,0,0,1,0
52641,52,10,0,20,52,5,1,5110,32,True,0,1,0,0
15446,11,10,0,20,21,1,0,2120,30,True,0,0,1,0
37501,0,10,1,21,22,1,1,2210,30,True,0,1,0,0
26693,22,10,1,21,22,1,1,12200,32,True,0,1,0,0
35316,21,10,1,20,21,2,1,1220,31,True,0,1,1,0
35365,22,10,0,20,12,2,1,21200,30,True,0,0,1,0
32334,12,10,1,20,22,1,1,21100,30,True,0,0,1,0
6883,22,10,0,21,22,2,1,22100,32,True,0,1,0,0
52468,0,10,0,21,61,7,1,3220,30,True,0,1,0,0
51533,0,10,1,20,74,1,1,1120,31,True,0,1,1,0
26767,0,10,0,20,12,2,1,12200,30,True,0,1,1,2
12261,21,10,1,21,21,2,0,2210,30,True,0,1,1,0
40156,61,10,1,20,61,1,0,41100,30,True,0,1,1,0
41294,42,10,0,20,42,1,1,3220,32,True,0,1,0,2
1852,21,10,0,20,21,2,0,11200,32,True,0,1,0,0
3423,22,10,1,21,22,2,1,12200,32,True,0,1,0,0
39778,11,10,0,21,11,2,0,2120,30,True,0,1,1,0
26606,22,10,1,21,22,1,1,1220,32,True,0,1,0,0
44185,42,10,1,22,72,4,0,12200,33,True,1,0,0,0
28864,0,10,0,20,21,1,1,21200,31,True,0,1,1,2
5273,0,10,1,20,22,1,0,2220,30,True,0,0,1,0
9713,21,10,1,20,21,2,1,1110,32,True,0,1,0,2
33466,22,10,1,20,11,2,1,21100,31,True,0,0,1,2
25886,0,10,0,20,11,2,0,1120,30,True,0,0,1,0
10215,0,10,0,20,21,2,0,1120,30,True,0,0,1,2
44887,51,10,0,20,51,8,0,21100,30,True,0,1,0,0
45574,72,10,0,21,72,3,0,1120,32,True,1,1,0,2
33349,11,10,1,20,11,2,1,1210,32,True,0,1,0,0
21372,0,10,0,21,22,2,0,1220,30,True,0,1,0,0
24993,21,10,1,20,12,2,1,2120,31,True,0,0,1,0
26442,21,10,0,21,21,1,0,11200,30,True,0,1,0,2
11450,0,10,1,20,22,2,1,11100,31,True,0,0,1,2
33057,0,10,0,20,22,1,0,11200,31,True,0,0,1,0
20028,22,10,1,20,21,2,0,1210,31,True,1,0,1,2
8271,12,10,0,21,12,2,1,1220,32,True,0,1,0,0
38358,12,10,1,20,11,1,0,12100,30,True,0,0,1,0
42672,21,10,1,20,21,7,0,72200,32,True,0,1,0,0
42003,0,10,1,20,11,6,0,7110,31,True,0,0,1,0
2125,0,10,1,20,21,2,0,21100,30,True,1,1,1,0
4634,12,10,0,21,12,2,1,11100,30,True,0,1,0,0
2270,11,10,1,22,12,2,0,1220,33,True,1,0,0,0
21246,0,10,0,21,22,1,0,11100,30,True,0,1,0,0
41328,42,10,1,21,42,1,0,5120,30,True,0,1,0,0
4978,12,10,1,20,11,2,0,11100,30,True,0,0,1,0
33245,22,10,0,20,22,1,1,2210,30,True,0,1,0,0
44905,0,10,0,21,71,7,0,21200,30,True,0,1,0,0
45026,0,10,0,20,52,4,0,21200,31,True,0,0,1,0
18436,12,10,0,21,12,2,0,12100,32,True,0,1,0,0
12545,21,10,1,21,21,2,0,1220,32,True,0,1,0,0
39546,0,10,1,20,11,1,1,2210,30,True,0,1,1,0
11540,0,10,0,20,22,1,1,1220,30,True,0,0,1,0
47354,21,10,1,20,21,7,0,1110,30,True,0,1,0,0
3033,0,10,1,20,21,1,1,2110,31,True,0,1,1,2
34759,0,10,1,20,11,1,1,2120,30,True,0,1,1,0
35500,0,10,0,20,22,2,1,21200,30,True,0,0,1,0
13617,22,10,1,20,22,2,0,12100,30,True,0,1,0,0
40344,62,10,1,20,72,2,0,71200,30,True,0,0,1,0
50680,73,10,0,20,62,2,0,11200,30,True,0,0,1,0
33542,0,10,1,20,21,2,0,1120,31,True,0,0,1,0
6306,12,10,1,20,12,1,1,11100,31,True,0,1,1,0
44078,0,10,0,22,71,6,0,2120,33,True,1,0,0,0
9442,22,10,0,20,21,2,1,11100,30,True,0,0,1,1
37121,21,10,1,20,21,1,1,1110,30,True,0,1,0,0
51104,41,10,0,20,31,1,0,2220,30,True,0,0,1,0
33744,11,10,1,20,11,1,0,2120,30,True,0,1,0,0
42306,0,10,1,21,11,5,0,42200,30,True,0,1,0,0
15706,0,10,1,21,12,2,1,1210,30,True,0,1,0,0
1967,11,10,1,21,11,1,1,1110,30,True,0,1,0,0
19679,21,10,1,21,21,1,0,21100,30,True,0,1,0,2
18605,0,10,0,22,22,2,0,11200,33,True,1,0,1,0
46243,21,10,0,22,11,6,0,2210,33,True,1,0,0,0
20794,12,10,0,20,11,1,1,2120,31,True,0,0,1,0
43211,11,10,0,21,11,4,1,7220,30,True,0,1,0,0
31459,0,10,0,22,12,1,0,2220,33,True,1,0,0,1
25315,0,10,0,20,21,2,1,2110,30,True,1,0,1,2
22474,0,10,0,20,22,2,1,11200,31,True,0,0,1,2
20137,11,10,0,21,11,1,0,21100,32,True,0,1,0,0
12305,21,10,1,20,21,2,1,2110,30,True,0,1,0,0
17962,21,10,1,21,21,2,0,12200,32,True,0,1,0,0
41941,51,10,0,20,32,2,1,7310,31,True,0,0,1,2
27118,0,10,0,20,12,1,1,2210,30,True,0,0,1,0
12942,21,10,1,20,21,1,0,1210,30,True,0,1,0,2
12773,12,10,1,22,11,1,0,1110,33,True,1,0,0,0
2715,21,10,0,20,21,1,0,22100,31,True,0,1,1,0
30107,0,10,1,21,12,1,0,2220,30,True,0,1,0,0
25124,12,10,1,22,11,1,0,21200,33,True,1,0,0,1
22267,22,10,0,20,11,1,1,11200,31,True,1,0,1,0
50730,41,10,0,20,62,2,1,11100,30,True,0,0,1,0
34556,21,10,0,20,12,2,1,11200,31,True,0,0,1,0
14926,12,10,0,21,12,1,1,1220,32,True,0,1,0,0
50640,52,10,0,20,73,2,0,2110,31,True,0,0,1,2
8820,0,10,0,20,22,1,0,2210,31,True,0,0,1,0
4109,0,10,1,20,12,2,0,1210,31,True,0,1,1,2
21751,11,10,0,20,11,2,0,2120,30,True,0,1,0,0
11011,0,10,1,21,12,1,0,1210,30,True,0,1,0,2
1889,11,10,1,20,11,1,1,1120,32,True,0,1,0,0
33348,22,10,1,20,22,1,0,2210,32,True,0,1,0,2
36636,21,10,1,21,21,2,0,12100,30,True,0,1,0,0
40952,42,10,1,20,74,2,0,52200,31,True,0,0,1,0
13752,21,10,0,20,21,2,1,12100,31,True,0,1,1,2
49245,21,10,1,20,21,2,0,3210,30,True,0,1,0,0
50585,0,10,0,20,71,1,1,21200,31,True,0,0,1,0
42035,0,10,1,21,22,4,1,6210,30,True,0,1,0,0
32909,11,10,0,20,11,2,1,2110,31,True,0,1,1,0
22839,0,10,0,21,12,2,1,2110,30,True,0,1,0,0
42988,0,10,0,21,12,7,0,6110,30,True,0,1,0,0
18235,0,10,1,20,11,2,0,1220,31,True,0,0,1,0
43645,11,10,1,20,11,4,0,3110,30,True,0,1,0,0
28679,21,10,0,20,22,2,1,21200,30,True,0,0,1,0
5747,21,10,1,21,21,2,0,2120,32,True,0,1,1,2
26092,21,10,0,20,21,2,1,21100,32,True,1,1,0,1
27476,0,10,0,20,22,2,0,21200,31,True,0,0,1,0
30354,11,10,1,21,11,1,0,1120,30,True,0,1,1,0
28716,21,10,1,21,21,1,0,2120,32,True,0,1,1,2
2611,0,10,1,21,21,2,0,1110,30,True,1,1,0,0
36168,21,10,0,20,21,2,1,2120,32,True,0,1,0,0
32985,22,10,0,20,11,1,1,12200,30,True,0,0,1,0
30644,21,10,0,20,21,1,0,2220,30,True,0,1,0,0
45916,73,10,0,20,51,6,0,11200,31,True,0,0,1,0
36271,22,10,1,20,22,1,1,2220,30,True,0,1,0,0
47086,22,10,0,21,22,7,1,12100,32,True,0,1,0,0
21124,11,10,0,20,11,1,0,1110,32,True,0,1,0,0
28538,0,10,0,21,12,1,0,1210,30,True,0,1,0,0
7628,11,10,1,21,11,1,0,1120,30,True,0,1,0,0
18561,21,10,0,21,21,1,0,1220,30,True,0,1,0,0
50735,73,10,0,20,73,2,1,2220,30,True,0,1,0,0
34139,11,10,0,20,21,1,0,21200,31,True,0,0,1,0
8359,22,10,1,20,11,2,0,21200,30,True,0,0,1,0
4705,0,10,0,20,11,1,1,1220,30,True,0,0,1,0
43848,0,10,0,21,12,3,1,61100,30,True,0,1,0,0
15136,0,10,1,20,11,2,1,11200,30,True,0,1,1,0
20521,0,10,0,20,11,2,0,1220,31,True,0,0,1,0
38526,0,10,0,20,11,1,1,1120,31,True,0,1,1,2
42687,22,10,0,21,22,4,1,71200,32,True,0,1,0,0
