,user_id,prj_led,admin_roles,isEmployee,type,rsc_prj,rsc_department,proprietary,task,activity,action,user_task_corr,user_prj_corr,user_department_corr,expertise
106000,ff05218f-84df-4676-9a70-dc26a4845cc3,22,10,0,21,11,8,0,62200,33,False,0,0,0,2
106001,9c718d45-a1c5-4124-ba89-1ed4396ba617,12,10,0,20,11,6,1,4210,30,False,0,0,0,0
106002,238205de-7852-41eb-acc5-994968ad59d8,0,10,0,21,12,6,0,6210,35,False,0,0,0,0
106003,ac719de4-4648-496d-8037-7c0a480b8653,0,10,1,22,21,6,1,61100,34,False,0,1,0,0
106004,3641d0e3-da6d-4994-a3d3-1e8943da4b17,22,10,0,21,22,7,0,32200,35,False,0,1,0,0
106005,42ad23d8-1262-4827-ab99-43d36f6ef8e1,0,10,1,21,22,4,1,73200,34,False,0,0,0,2
106006,d91a6359-934e-42aa-868e-a00463959d00,21,10,0,21,22,6,1,72100,33,False,0,0,1,0
106007,84ae43d2-8856-422a-876b-f08700346245,0,10,0,22,22,3,1,4120,31,False,0,0,0,0
106008,c3b57dc4-eb1a-4922-a246-0ef35c198ed5,0,10,0,20,21,7,0,61100,34,False,0,0,0,0
106009,11d7604f-728f-4762-8803-1ff888e09771,12,10,0,22,21,8,1,7320,36,False,0,0,0,0
106010,6cceefe3-6811-4a8d-a8f6-48ae327896db,22,10,0,22,21,4,0,61100,34,False,0,0,0,0
106011,293ac506-57cc-4a2f-bba2-575d7e70267d,12,10,1,21,11,3,0,6210,30,False,0,0,0,0
106012,91d54b9f-d8b3-461e-8779-4488c76ee517,0,10,1,20,22,3,1,51100,35,False,0,0,0,0
106013,3fda7565-c724-477e-98df-3f87aa28a03d,11,10,0,21,22,5,0,5110,35,False,0,0,0,0
106014,5f203aca-ee35-4f76-b293-fe2194196346,11,10,1,22,12,8,0,61200,35,False,0,0,0,0
106015,48c401a5-6f3f-4eff-afd8-3fa8ad174a51,0,10,0,22,22,3,1,42200,35,False,0,0,1,2
106016,98ad106d-fce4-48e9-9598-8f7e528be1fb,22,10,0,20,22,4,0,7210,33,False,0,1,0,0
106017,11ee0f42-55a3-4589-bf01-84887923c156,11,10,1,22,11,6,1,5220,30,False,0,1,0,0
106018,42ac07e1-5222-47a0-b5c3-c531834fc12a,0,10,1,22,12,6,1,42200,31,False,0,0,0,0
106019,0cedb35a-2584-4c19-a9ef-4ccdc6210b38,0,10,1,22,22,3,1,41100,36,False,0,0,0,0
106020,94a969d1-29cd-4834-8f3d-f9612e910478,0,10,0,21,22,4,1,5210,34,False,0,0,0,0
106021,e8292153-11cb-41cc-b363-e1b821a32b9b,11,10,1,22,11,8,1,51200,33,False,0,1,0,0
106022,d856d0e9-bb09-4896-91e3-2185d8e59074,21,10,1,20,22,7,0,32200,33,False,0,0,0,2
106023,7efee434-a178-4dad-9243-d71548e901c5,0,10,1,21,12,8,0,32100,32,False,0,0,0,2
106024,ff38bf7b-e198-4db0-94ef-f222816236bd,22,10,1,21,22,5,1,61200,32,False,0,1,0,0
106025,d9c02cef-dee1-44ab-9b31-39b1c79492be,0,10,0,20,22,5,1,5220,35,False,0,0,0,0
106026,364db2c1-c736-4b51-998f-25ae96e73462,11,10,0,21,12,5,1,52100,34,False,1,0,0,0
106027,3dbd6e88-33d6-4fff-830c-6fc837c25436,12,10,1,21,21,5,1,5110,36,False,0,0,0,0
106028,7d5d451f-b83d-43dd-ba10-bc0244269b63,0,10,0,21,22,5,0,41100,30,False,0,0,1,2
106029,cb6aeaf1-1762-405a-a949-048eedf313ca,11,10,1,20,11,8,0,51100,34,False,0,1,0,0
106030,7daa1c84-10ef-4c10-9ce0-c90572637dd8,0,10,0,22,21,5,1,72200,35,False,0,0,1,0
106031,43fc85e6-afd7-48aa-9218-027fde7dd9b8,21,10,0,22,21,4,0,51100,35,False,0,1,0,0
106032,857c8027-7f03-4aac-afd5-57c290f6f916,0,10,1,22,12,8,0,6210,35,False,0,0,0,0
106033,a63cdebe-c77b-4103-a0cb-3d1b9edfcfbb,0,10,1,20,21,6,0,6110,32,False,0,0,0,1
106034,520cf3f0-d65c-4d07-949c-0b1ec649a133,0,10,1,20,22,5,1,41200,36,False,0,0,0,0
106035,b4656f2c-4134-44fd-a688-63fe27783362,22,10,1,22,12,8,0,7210,34,False,0,0,0,0
106036,f2ddae07-f75b-442a-a0ea-6bd9c6d63ce9,11,10,1,22,11,4,1,5220,32,False,0,1,0,0
106037,1bd9bae6-ece5-4c84-9ece-12fd3c6d7f08,0,10,0,22,21,7,1,32100,34,False,0,0,0,0
106038,6b7efda1-07c3-4144-ba4e-fb51e7f249a1,0,10,1,20,12,8,1,7120,31,False,0,0,0,0
106039,b57f29aa-7baa-496d-8980-f46c2897a5ba,0,10,0,22,22,8,1,32200,30,False,0,0,1,0
106040,15dfd9fb-5c95-47f0-b6cc-018921158ce9,21,10,0,21,12,4,0,7310,36,False,0,0,0,0
106041,7dcfb8c9-0160-4a9b-88ea-bfcb8b6f098d,0,10,1,22,21,5,1,7220,35,False,0,0,0,0
106042,f17175d0-ec1a-4028-b0ed-d8199fd51c2a,12,10,1,22,22,5,0,61100,31,False,0,0,0,2
106043,77e91488-9f79-4eea-b91c-2f51d349c575,0,10,0,22,21,5,0,7220,33,False,0,0,0,1
106044,ce639c8f-a820-4e7b-b259-b66c1f9aaeee,0,10,0,20,12,3,0,7120,33,False,0,1,0,0
106045,373741ef-97ec-4538-90c5-a650782f7b7b,0,10,1,21,21,6,0,3110,31,False,0,0,0,1
106046,9f053531-6ded-499c-9bc1-85afe57e0415,0,10,1,20,21,8,0,7310,34,False,0,1,0,0
106047,2020adf0-e40a-41c5-bc9a-ec98e04f63e3,22,10,0,21,21,6,0,3220,30,False,0,0,0,0
106048,aaa42c78-56bd-48f3-bd0d-20ebb0555717,0,10,1,20,22,3,1,3220,31,False,0,0,1,1
106049,9c01186e-e83d-4a91-b4a2-e20fd0937acb,0,10,0,21,21,7,0,4220,32,False,0,0,1,0
106050,401613ef-7de4-4c89-a604-7dffcbcc4300,11,10,0,21,11,7,1,52200,30,False,0,1,0,2
106051,755c1400-eb95-4560-b212-427d0101d89b,0,10,1,22,12,3,0,3120,31,False,0,0,0,2
106052,737cc558-6925-4263-b5fb-18284ed3b2b8,0,10,0,22,12,3,1,71100,35,False,0,0,0,0
106053,67acbeae-a8fe-4dd5-be6a-9f262175bb57,21,10,0,20,21,7,1,4120,32,False,0,1,0,0
106054,a006c56a-b74e-4bda-ac68-12d65e60105c,0,10,0,22,12,6,0,7210,35,False,0,0,0,0
106055,2d21168f-0d05-4755-b54e-1202a3927100,12,10,1,21,12,4,0,4120,31,False,0,1,0,0
106056,34c2c103-3ef4-48fd-868a-e5ad1c20094f,0,10,0,20,12,3,0,5120,30,False,0,0,0,2
106057,fd6de2d5-7b58-495d-a5a7-e8a354ce8c17,11,10,1,21,22,6,1,52100,33,False,0,0,0,2
106058,dba19755-f7a8-42b2-aa39-5bcd890ad123,12,10,1,22,12,5,1,6220,31,False,0,1,0,0
106059,a0c760a2-aa21-4a02-8bb5-4120405ca52b,0,10,1,20,22,8,1,71200,30,False,0,0,0,0
106060,85af4714-03bf-4633-9817-dd7c7db4bd3a,0,10,0,21,11,4,1,6220,33,False,0,0,0,0
