,prj_led,admin_roles,isEmployee,type,rsc_prj,rsc_department,proprietary,task,activity,action,user_task_corr,user_prj_corr,user_department_corr,expertise
153785,0,12,0,22,62,6,0,6210,31,True,0,1,0,2
107370,0,12,1,21,22,6,0,12200,36,True,0,1,0,0
115157,74,12,1,20,31,5,0,4220,35,True,0,0,0,2
114959,0,12,0,22,74,5,0,51100,33,True,1,0,0,0
155323,52,12,0,20,61,6,0,5110,36,True,0,0,0,0
140247,52,12,0,20,52,6,0,42200,33,True,0,1,0,0
150896,0,12,0,21,52,5,0,6110,33,True,0,0,0,0
112126,61,12,1,20,61,7,0,5110,31,True,0,1,0,0
155997,0,12,1,21,52,5,0,4220,34,True,0,0,0,0
157918,0,12,1,22,51,5,0,5110,33,True,0,0,0,2
126022,61,12,1,20,51,5,0,4220,30,True,0,0,0,0
138268,52,12,1,21,62,5,0,61100,31,True,0,0,0,0
143246,0,12,1,21,62,5,0,52100,30,True,0,0,0,0
129890,52,12,1,22,51,6,0,52100,33,True,0,0,1,0
150469,61,12,1,21,51,5,0,5120,36,True,0,0,0,0
130883,51,12,0,20,51,6,0,51200,36,True,0,1,0,0
119896,52,12,0,20,52,6,0,6210,35,True,0,1,0,2
107532,0,12,0,22,31,6,0,22200,30,True,0,0,0,0
114746,42,12,1,22,12,5,0,5110,33,True,0,0,0,0
107930,72,12,0,21,21,5,0,7210,33,True,0,0,0,0
158423,62,12,1,20,52,5,0,5120,33,True,0,0,1,0
130475,0,12,0,20,62,5,0,6120,31,True,0,1,1,2
119295,61,12,0,22,51,5,0,5220,30,True,0,0,0,2
106458,0,12,1,21,11,6,0,1110,36,True,0,0,0,2
122628,0,12,1,22,62,5,0,51100,32,True,0,0,0,0
137504,51,12,1,22,52,6,0,61200,35,True,0,0,0,2
106092,41,12,1,20,21,5,0,1220,34,True,0,0,0,0
149023,51,12,1,20,61,5,0,61200,31,True,1,0,0,0
154271,51,12,1,20,51,5,0,51100,34,True,0,1,1,0
145688,0,12,1,21,51,6,0,51200,35,True,0,0,0,0
157009,0,12,1,22,61,6,0,6110,33,True,0,1,1,0
132643,62,12,0,22,52,6,0,61100,30,True,0,0,0,0
125757,52,12,1,22,62,6,0,51200,32,True,0,0,0,0
156103,0,12,1,22,52,6,0,51200,30,True,0,0,0,2
107739,0,12,0,21,31,6,0,71200,30,True,0,0,1,0
118457,31,12,0,21,41,2,0,1110,32,True,0,0,0,0
107836,11,12,1,21,11,5,1,7220,30,True,0,1,0,0
156277,0,12,0,22,51,6,0,5210,32,True,0,0,0,0
155846,0,12,1,20,52,5,0,51100,36,True,0,0,1,2
131026,0,12,0,21,51,5,0,6120,33,True,0,0,0,0
132798,61,12,0,22,62,5,0,5110,31,True,0,0,0,0
137277,62,12,1,20,51,6,0,5110,30,True,0,0,0,0
152671,62,12,1,21,62,6,0,5120,31,True,0,1,0,0
112521,61,12,0,20,62,2,0,5220,30,True,0,0,0,0
112501,0,12,0,22,51,3,0,6120,35,True,0,0,0,0
131626,51,12,1,20,51,5,0,4220,31,True,0,1,1,0
108662,0,12,0,20,42,4,0,6110,33,True,0,0,0,0
156368,51,12,1,21,51,6,0,42200,34,True,0,1,0,0
144314,0,12,1,22,52,5,0,6210,30,True,0,0,0,1
142485,0,12,0,21,62,6,0,51100,32,True,1,0,0,0
123694,52,12,0,21,62,5,0,42200,34,True,0,0,0,0
136210,0,12,0,20,62,5,0,51100,32,True,0,0,1,0
117153,52,12,0,20,62,6,0,71200,35,True,0,0,0,0
147668,0,12,1,20,62,6,0,5120,35,True,0,0,0,0
118544,0,12,0,22,12,8,0,7110,33,True,0,0,0,0
136344,62,12,1,21,52,6,0,5210,34,True,1,0,0,0
140916,0,12,1,20,52,6,0,5110,31,True,0,0,0,0
139555,0,12,0,21,61,6,0,51100,34,True,0,1,0,0
143536,61,12,0,20,52,6,0,5210,34,True,0,0,0,0
137735,52,12,1,22,61,6,0,6210,33,True,0,0,0,0
152015,62,12,0,20,51,6,0,6210,30,True,0,0,0,2
133985,62,12,1,20,61,6,0,52100,36,True,1,0,0,0
137988,0,12,1,20,62,6,0,5120,35,True,1,0,1,0
126798,0,12,0,20,61,6,0,6210,30,True,0,0,0,0
123920,51,12,0,21,61,5,0,6210,33,True,0,0,0,0
129085,52,12,1,21,62,5,0,52100,33,True,1,0,0,0
141795,52,12,0,20,61,6,0,51200,32,True,0,0,0,0
147927,62,12,0,21,62,6,0,5110,33,True,0,1,0,0
153739,52,12,1,20,51,6,0,6210,30,True,0,0,1,0
154452,0,12,1,22,52,5,0,51200,32,True,0,0,0,0
142047,62,12,1,22,51,6,0,61200,32,True,0,0,0,2
138952,0,12,0,20,62,6,0,5110,33,True,0,0,0,2
153679,0,12,0,21,52,6,0,5220,36,True,0,1,0,0
149452,0,12,0,22,62,5,0,51200,31,True,0,0,1,0
132966,0,12,0,20,52,5,0,6110,35,True,0,0,1,0
157061,0,12,1,21,51,6,0,52100,34,True,0,1,0,1
110098,51,12,0,21,61,4,0,2210,32,True,0,0,0,2
153622,62,12,0,21,62,6,0,52100,32,True,0,1,0,0
107623,0,12,0,21,21,5,0,22100,32,True,0,0,1,0
110415,62,12,1,20,62,3,0,1220,32,True,0,1,1,2
121671,0,12,1,21,62,6,0,51100,33,True,0,0,0,2
117896,51,12,0,21,52,6,0,1210,33,True,0,0,0,0
118590,0,12,1,22,11,2,0,2110,35,True,0,0,0,0
127401,61,12,1,21,52,5,0,5220,30,True,0,0,0,0
142609,52,12,1,22,52,6,0,52200,33,True,0,1,0,0
136504,62,12,0,21,52,5,0,6120,30,True,0,0,1,0
148525,52,12,0,21,51,6,0,52200,32,True,0,0,0,0
158029,0,12,1,22,61,5,0,42200,31,True,0,0,0,0
112316,0,12,1,22,51,7,0,6120,35,True,0,0,0,0
128542,0,12,1,22,51,6,0,5220,36,True,0,1,0,2
158550,0,12,0,21,52,5,0,61100,36,True,0,0,0,0
118401,0,12,0,22,41,2,0,6220,31,True,0,0,0,0
149904,0,12,1,20,51,6,0,6210,32,True,0,0,0,0
154552,0,12,1,22,52,6,0,6210,30,True,0,0,0,0
144861,0,12,0,22,51,6,0,5220,36,True,0,0,1,2
149955,61,12,0,20,62,6,0,4220,33,True,0,0,0,2
135919,0,12,0,21,51,6,0,51200,33,True,0,0,1,2
129859,52,12,1,21,52,5,0,42200,34,True,0,1,0,0
111368,0,12,0,21,52,3,1,21200,30,True,0,1,0,0
124274,62,12,0,22,51,5,0,6210,33,True,0,0,0,2
144510,62,12,0,22,52,5,0,51100,31,True,1,0,0,0
156704,51,12,1,21,51,6,0,6120,35,True,0,1,0,0
139432,0,12,1,21,52,6,0,61200,32,True,0,0,0,2
122395,0,12,1,22,61,6,0,42200,31,True,0,0,0,0
139857,61,12,1,20,51,6,0,42200,30,True,0,0,1,0
108710,41,12,0,20,41,4,0,6210,33,True,0,1,0,1
125049,0,12,1,21,62,6,0,51200,36,True,0,1,0,0
158798,0,12,1,20,61,5,0,52200,33,True,0,0,0,0
148003,51,12,0,21,61,6,0,5110,31,True,0,0,0,1
131931,61,12,1,21,61,5,0,52100,33,True,0,1,0,2
113710,51,12,1,21,62,7,0,5120,35,True,0,0,0,0
148902,0,12,0,20,51,6,0,51100,33,True,0,1,0,1
139742,0,12,0,22,61,6,0,52200,30,True,0,0,0,2
151047,0,12,1,22,62,5,0,5120,34,True,0,0,0,2
117971,52,12,0,21,61,5,0,72200,31,True,0,0,0,0
108892,0,12,1,22,73,8,0,6120,30,True,0,0,0,0
158761,0,12,0,20,51,6,1,6210,30,True,1,1,0,0
110010,0,12,0,20,61,3,0,73100,30,True,0,0,0,2
133226,0,12,0,20,62,5,0,4220,32,True,0,0,0,0
129840,52,12,0,21,51,6,0,5120,34,True,0,0,0,0
141973,62,12,0,20,52,5,0,51100,32,True,1,0,0,2
158566,0,12,1,22,52,5,0,5110,34,True,0,1,0,0
119968,0,12,0,20,51,6,0,51200,33,True,0,0,0,1
117374,0,12,0,20,52,5,0,21200,32,True,0,0,1,0
121721,0,12,0,21,51,6,0,6110,36,True,0,0,1,0
153806,0,12,0,20,52,5,0,5120,30,True,0,0,0,2
157358,61,12,1,20,62,5,0,61200,33,True,0,0,1,0
