,prj_led,admin_roles,isEmployee,type,rsc_prj,rsc_department,proprietary,task,activity,action,user_task_corr,user_prj_corr,user_department_corr,expertise
59050,0,11,1,21,32,8,0,41200,33,True,0,0,0,0
105445,73,11,1,20,52,2,0,12100,35,True,0,0,0,2
69414,41,11,1,20,42,4,0,42100,34,True,0,0,0,2
75392,41,11,1,22,41,3,0,42100,31,True,0,1,0,0
69596,0,11,1,20,42,4,0,3210,36,True,0,0,0,1
77167,32,11,1,21,32,3,0,42100,33,True,0,1,0,0
53264,61,11,0,22,62,3,0,6220,32,True,0,0,0,2
54613,0,11,0,20,74,4,0,52200,31,True,0,0,0,0
101064,0,11,1,21,31,3,0,22200,35,True,1,0,0,2
105005,0,11,0,22,74,6,0,62200,32,True,0,1,0,0
55751,0,11,0,20,73,8,0,41200,36,True,0,0,0,0
65818,0,11,1,22,41,4,0,32200,36,True,0,0,0,0
71693,31,11,1,22,31,4,0,32200,36,True,0,1,0,2
56209,52,11,1,21,52,2,0,4120,34,True,0,1,1,0
54942,0,11,1,20,52,3,0,71200,35,True,0,0,1,0
87083,31,11,0,22,41,4,0,4120,34,True,0,0,0,0
95322,0,11,1,22,41,3,0,32200,32,True,0,1,0,0
68384,0,11,0,21,32,3,0,42100,34,True,0,0,0,0
95091,41,11,1,22,42,4,0,22200,32,True,0,0,0,0
82261,0,11,1,20,32,3,0,3110,32,True,0,0,0,0
56721,52,11,0,20,62,2,0,3210,30,True,0,0,1,0
91841,0,11,0,22,31,4,0,4120,34,True,0,0,1,2
87878,42,11,0,22,31,3,0,31100,36,True,0,0,0,0
79085,0,11,1,22,42,4,0,41100,32,True,0,0,0,2
66766,0,11,1,22,42,4,0,22200,33,True,0,0,0,0
62778,0,11,1,22,22,4,0,22200,33,True,0,0,0,0
98313,0,11,1,22,31,3,0,42100,33,True,0,0,0,0
88966,0,11,0,20,41,4,0,32200,30,True,0,0,1,2
62140,0,11,1,21,51,4,0,41200,34,True,0,1,0,0
81123,32,11,1,21,41,4,0,31100,31,True,0,0,0,1
85972,42,11,1,21,42,4,1,42100,32,True,0,1,0,0
55792,71,11,0,20,73,5,0,4120,31,True,0,0,0,0
74413,0,11,0,21,31,4,0,4120,31,True,0,1,0,0
77901,0,11,1,22,31,3,0,3120,36,True,0,1,0,0
73588,31,11,1,21,42,4,0,3220,35,True,0,0,1,0
54424,62,11,0,21,51,4,0,71100,35,True,0,0,1,2
69715,31,11,0,22,41,4,0,3220,33,True,0,0,0,0
69662,0,11,0,21,41,3,0,4210,33,True,0,1,1,0
98524,32,11,1,21,42,4,0,3110,32,True,0,0,0,0
92557,31,11,1,21,32,4,0,22200,34,True,0,0,0,2
56017,0,11,1,21,74,2,0,41200,35,True,0,0,0,0
