user_id,usr_prj,prj_led,admin_roles,usr_expertise,tasks,usr_department,isEmployee,type,rsc_prj,rsc_department,rsc_expertise,proprietary,task,activity,action
c6eedad6-17cc-4fc4-bd23-994c1c0f6318,proj71,proj71,accountant,1,proj62task2a,,True,budget,proj71,dept4,,False,proj62task2a,read,True
03b612e4-0709-460d-9bee-9b516e00e238,proj61,proj61,accountant,1,proj71task1propa,,False,budget,proj61,dept4,2,True,proj52task2propa,read,True
9b4f996f-ecaf-4163-82bc-f2cb440a4ba0,proj51,,accountant,2,proj11task2a,,False,budget,proj51,dept4,2,True,proj71task1propa,write,True
539af93b-f038-4f3e-ab35-0c51e8efe955,proj21,,accountant,,proj11task2propa,,False,task,proj21,dept3,1,False,proj22task1propa,setCost,True
e2f71f55-6186-4fd5-900b-31371a44eee5,proj62,proj62,accountant,2,proj51task2a,dept4,True,schedule,proj62,dept4,,True,proj42task2propa,write,True
02a43123-8a5e-45d5-9815-939e96fffb07,proj62,,accountant,1,proj12task1propa,dept3,False,task,proj62,dept3,1,False,proj51task1propa,setCost,True
83225d65-26c5-4f8b-a9de-e5db8f6b50ea,proj12,proj12,accountant,,proj72task2a,dept3,True,task,proj12,dept3,1,False,proj11task1propa,setCost,True
d58bc701-daab-4ac6-ac28-757f83e483fd,proj22,proj22,accountant,2,proj21task2propa,dept3,True,budget,proj22,dept4,2,False,proj21task1propa,read,True
88f3bdbd-04b4-4280-a1c9-5852106e35b1,proj21,proj21,accountant,1,proj21task1propa,,False,budget,proj21,dept4,,True,proj73task2a,read,True
f0fc81b6-cecd-492e-bcbb-c4ea5d8e640a,proj61,proj61,accountant,,proj72task2a,dept4,True,schedule,proj61,dept3,,False,proj62task1a,write,True
59bd4a8f-08c5-4e6f-abb9-92c162b0713e,proj22,proj22,accountant,2,proj12task1propa,dept3,True,budget,proj22,dept3,2,True,proj72task1propa,read,True
5fa9762b-636b-44f4-ad88-2098727af905,proj61,proj61,accountant,,proj71task1a,dept4,True,schedule,proj61,dept3,,True,proj73task1a,read,True
6dc45537-f269-4d86-9051-64177b617ecc,proj21,,accountant,1,proj11task2a,dept3,True,budget,proj21,dept4,,True,proj61task2a,write,True
7def1654-0ca0-4e3d-8286-1a5c474438a7,proj52,,accountant,,proj21task2propa,dept4,True,budget,proj52,dept3,1,True,proj73task2propa,read,True
dee66c1f-ec0e-4907-a13e-8cea69718e7a,proj22,,accountant,,proj51task1a,dept3,False,schedule,proj22,dept3,2,True,proj73task1propa,read,True
82ec3233-3020-42f3-937d-88ad57a7bfc3,proj72,,accountant,,proj11task1a,,True,budget,proj72,dept4,,False,proj61task1a,read,True
f2dab871-304c-4841-9596-ae2f0eb1acee,proj72,proj72,accountant,,proj52task2propa,,True,task,proj72,dept4,2,False,proj72task1a,setCost,True
323eeee5-97c9-41b5-a52f-9e9aecbc5655,proj22,,accountant,,proj62task1propa,,True,budget,proj22,dept4,,False,proj51task1propa,read,True
664d2745-8816-4f97-9a16-18576beecb53,proj71,,accountant,1,proj71task1propa,dept3,True,task,proj71,dept3,,True,proj52task1propa,setCost,True
5ff8fffd-13a6-4471-acc5-cfb48474e22e,proj74,proj74,accountant,,proj21task2a,dept3,False,schedule,proj74,dept4,,True,proj12task2a,read,True
64260765-c79b-4332-88f9-26b6ffba5528,proj51,,accountant,1,proj52task2propa,,False,task,proj51,dept3,1,False,proj62task1propa,setCost,True
cf3e7c90-dd7f-47d6-be2f-96b89a4103be,proj71,,accountant,1,proj73task1a,,True,task,proj52,dept4,2,False,proj73task1a,setStatus,True
816787d1-6a59-4818-afbe-10f78c05f994,proj51,,accountant,1,proj73task2a,,True,schedule,proj51,dept4,,False,proj61task1propa,read,True
29b5b770-8fff-4cd5-a1cf-2b0f24e011f5,proj21,proj21,accountant,,proj11task1a,,True,budget,proj21,dept4,,True,proj62task2a,read,True
c738c443-ea5c-4694-83e9-986e1e667667,proj22,,accountant,1,proj71task1propa,,True,budget,proj22,dept4,,True,proj12task1propa,write,True
18f2983b-cea3-4720-aef5-24475e15e52a,proj11,proj11,accountant,,proj52task2a,dept4,False,schedule,proj11,dept4,2,True,proj21task2a,write,True
d3dcdb74-7179-4aaf-9791-df4c393dff6a,proj52,,accountant,1,proj73task1a,,False,task,proj52,dept3,,False,proj61task2a,setCost,True
9212735f-39ba-464b-b31f-c01b02e7af86,proj62,proj62,accountant,1,proj51task2propa,,False,task,proj62,dept4,1,False,proj62task2a,setCost,True
09e927f7-0f42-4a44-b56d-92c893b6b8ab,proj62,proj62,accountant,,proj42task2propa,dept4,False,schedule,proj62,dept4,,False,proj42task2propa,write,True
262830cb-5d04-4090-9730-3eeab1f267ce,proj71,proj71,accountant,,proj71task2propa,dept4,True,schedule,proj71,dept3,1,False,proj11task1propa,write,True
d6d51a51-81e7-4a0c-9758-1d89ab25620a,proj71,,accountant,,proj52task2propa,dept3,True,task,proj71,dept3,,True,proj11task1propa,setCost,True
02ea8931-d9a6-4fea-94f3-2cfce64e482c,proj72,,accountant,1,proj22task1propa,,True,budget,proj72,dept3,,False,proj11task1propa,read,True
0dab4548-7d76-4b81-a8ee-0c33eb80a1af,proj22,proj22,accountant,1,proj51task1propa,,True,schedule,proj22,dept3,1,True,proj22task1a,read,True
7b3f5ffd-2c2b-4e6e-b441-92817cb1e07f,proj21,,accountant,,proj51task1propa,dept4,True,task,proj21,dept3,1,True,proj51task1propa,setStatus,True
fb3606a5-f369-4737-811d-7916c9a3ef4d,proj61,proj61,accountant,1,proj11task2propa,,False,budget,proj61,dept3,1,False,proj52task2propa,read,True
999774e7-7427-402d-86c4-21a4f011161d,proj62,proj62,accountant,,proj61task1a,,True,schedule,proj62,dept3,1,True,proj72task2a,write,True
dadb9b0b-f9f8-4280-a47a-c084ae88def9,proj51,proj51,accountant,1,proj73task1propa,,False,budget,proj51,dept4,2,True,proj22task2a,write,True
632c3921-fa18-45ff-b37b-dc20df4dfd0e,proj61,,accountant,,proj72task1propa,dept3,False,task,proj51,dept3,2,True,proj72task1propa,setStatus,True
44199d1f-df32-463e-8417-698e65deec3e,proj51,proj51,accountant,1,proj72task2a,dept3,False,budget,proj51,dept4,1,False,proj51task2propa,read,True
c85113bc-0a21-4a25-b694-be2a63777700,proj22,,accountant,,proj73task2propa,,False,budget,proj22,dept3,,True,proj11task1propa,write,True
c3e04aae-8910-4304-80e5-327c3b87dc95,proj21,,accountant,1,proj22task2a,,False,budget,proj21,dept3,2,True,proj73task1a,write,True
7d2a68ed-5f05-4779-9060-399b404606fe,proj52,,accountant,,proj12task2propa,dept4,True,budget,proj52,dept3,,True,proj21task1propa,read,True
b1f6e32f-a1eb-4c56-8437-4152e0b4c879,proj74,,accountant,,proj12task1propa,,True,budget,proj74,dept4,1,True,proj42task2propa,read,True
f2cd1e6b-b65a-422f-8ad8-ca41e56c420c,proj62,proj62,accountant,,proj52task2a,,False,budget,proj62,dept3,,False,proj22task1propa,read,True
